[L1  , C1  ] KEYWORD        --> "package"
[L1  , C9  ] IDENTIFIER     --> "app"
[L1  , C12 ] SEPARATOR      --> ";"
[L3  , C1  ] KEYWORD        --> "import"
[L3  , C8  ] IDENTIFIER     --> "java"
[L3  , C12 ] SEPARATOR      --> "."
[L3  , C13 ] IDENTIFIER     --> "util"
[L3  , C17 ] SEPARATOR      --> "."
[L3  , C18 ] IDENTIFIER     --> "ArrayList"
[L3  , C27 ] SEPARATOR      --> ";"
[L4  , C1  ] KEYWORD        --> "import"
[L4  , C8  ] IDENTIFIER     --> "java"
[L4  , C12 ] SEPARATOR      --> "."
[L4  , C13 ] IDENTIFIER     --> "util"
[L4  , C17 ] SEPARATOR      --> "."
[L4  , C18 ] IDENTIFIER     --> "List"
[L4  , C22 ] SEPARATOR      --> ";"
[L5  , C1  ] KEYWORD        --> "import"
[L5  , C8  ] IDENTIFIER     --> "java"
[L5  , C12 ] SEPARATOR      --> "."
[L5  , C13 ] IDENTIFIER     --> "util"
[L5  , C17 ] SEPARATOR      --> "."
[L5  , C18 ] IDENTIFIER     --> "Scanner"
[L5  , C25 ] SEPARATOR      --> ";"
[L10 , C1  ] KEYWORD        --> "public"
[L10 , C8  ] KEYWORD        --> "class"
[L10 , C14 ] IDENTIFIER     --> "GestorTareas"
[L10 , C27 ] SEPARATOR      --> "{"
[L12 , C5  ] KEYWORD        --> "static"
[L12 , C12 ] KEYWORD        --> "class"
[L12 , C18 ] IDENTIFIER     --> "Tarea"
[L12 , C24 ] SEPARATOR      --> "{"
[L13 , C9  ] KEYWORD        --> "private"
[L13 , C17 ] IDENTIFIER     --> "String"
[L13 , C24 ] IDENTIFIER     --> "nombre"
[L13 , C30 ] SEPARATOR      --> ";"
[L14 , C9  ] KEYWORD        --> "private"
[L14 , C17 ] KEYWORD        --> "boolean"
[L14 , C25 ] IDENTIFIER     --> "completada"
[L14 , C35 ] SEPARATOR      --> ";"
[L15 , C9  ] KEYWORD        --> "private"
[L15 , C17 ] KEYWORD        --> "int"
[L15 , C21 ] IDENTIFIER     --> "prioridad"
[L15 , C30 ] SEPARATOR      --> ";"
[L17 , C9  ] KEYWORD        --> "public"
[L17 , C16 ] IDENTIFIER     --> "Tarea"
[L17 , C21 ] SEPARATOR      --> "("
[L17 , C22 ] IDENTIFIER     --> "String"
[L17 , C29 ] IDENTIFIER     --> "nombre"
[L17 , C35 ] SEPARATOR      --> ","
[L17 , C37 ] KEYWORD        --> "int"
[L17 , C41 ] IDENTIFIER     --> "prioridad"
[L17 , C50 ] SEPARATOR      --> ")"
[L17 , C52 ] SEPARATOR      --> "{"
[L18 , C13 ] KEYWORD        --> "this"
[L18 , C17 ] SEPARATOR      --> "."
[L18 , C18 ] IDENTIFIER     --> "nombre"
[L18 , C25 ] OPERATOR       --> "="
[L18 , C27 ] IDENTIFIER     --> "nombre"
[L18 , C33 ] SEPARATOR      --> ";"
[L19 , C13 ] KEYWORD        --> "this"
[L19 , C17 ] SEPARATOR      --> "."
[L19 , C18 ] IDENTIFIER     --> "prioridad"
[L19 , C28 ] OPERATOR       --> "="
